状态名,对应枚举变量字符串,状态介绍,基础倍率,是否是Debuff(填是或否),是否是Dot(填是或否),最大有效层数,持续时间类型(Turn/ActionValue/Special),默认持续回合数,默认持续行动值,额外变量1,注释,额外变量2,注释,额外变量3,注释,额外变量4,注释,优先级
蓄势,Charge,蓄满8层时触发蓄势逆击，为全队加盾并插入额外回合。,0.2,否,否,8,Special,0,100,0.2,护盾生命系数,8,触发层数阈值,0,固定护盾系数x100,0.2,行动延后倍率,99
瞩目,Attract,提高自身被敌人选中的权重。,0,是,否,1,Turn,1,100,1.5,受击权重倍率,0,预留,0,预留,0,预留,3
鸠毒,Poison,在目标行动前触发中毒伤害，并作为敌方混沌技能的判定来源。,0.2,是,是,99,Special,0,100,0,预留,0,预留,0,预留,0,预留,8
混沌,Chaos,整合混沌状态。层数=混沌值。1-2层每层-10%伤害；3-4层每层+20行动冷却；5层眩晕1回合后重置为2层。,0,是,否,5,Special,0,100,0,预留,0,预留,0,预留,0,预留,99
狂暴盛宴,BerserkFeast,提升20%暴击率，并允许暴击后按0.40系数继续连击。,0,否,否,1,ActionValue,1,200,0.4,连击伤害比例,0.2,暴击率提升,0,预留,0,预留,2
燃血,BurningBlood,若本回合未击杀目标，则在回合结束时按15%最大生命值自损。,0,是,否,1,Special,0,100,0.15,未击杀自损比例,0,预留,0,预留,0,预留,2
暴击律动,CritRhythm,自身暴击或场上敌人死亡时，我方全体角色行动提前25%。,0,否,否,1,Special,0,100,0.25,全队行动提前比例,0,预留,0,预留,0,预留,2
裁决印记,DesperationMark,持有者受到伤害后额外承受等于本次伤害15%的真实伤害；若其在印记持续期间死亡，则印记转移给其他敌方单位中当前生命值比例最低者。,0,是,否,1,ActionValue,1,300,0.15,额外真伤比例,0,预留,0,预留,0,预留,5
回复之泉,HealingSpring,单位造成的伤害提高20%，并将本次伤害等额治疗均摊给后排角色。,0,否,否,1,Turn,1,100,1.2,伤害倍率,0,预留,0,预留,0,预留,2
复苏锋芒,RestorationSurge,下一次直接攻击伤害按全队已损生命值比例提高，攻击后或回合结束移除。,0,否,否,1,Special,0,100,0.2,固定倍率,0.5,已损失血量倍率,0,预留,0,预留,99
致命穿甲,DeadlyArmor,提高伤害并将输出视为真伤；击杀时推进全队行动条。,0,否,否,1,Special,0,100,0.5,击杀后全队行动提前比例,1.25,输出倍率,0,预留,0,预留,7
易伤,Vulnerable,每层使目标承受1.25倍伤害，并在每次受击后消耗1层。,0,是,否,2,Special,0,100,1,每次受击消耗层数,1.25,承伤倍率,0,预留,0,预留,10
破甲,ArmorBreak,按层数降低目标有效防御。每层削减20%，最多2层。,0,是,否,2,Special,0,100,0.2,每层防御削减比例,0,预留,0,预留,0,预留,10
浴血反哺,BloodSurgeHeal,造成伤害时回复生命并消耗层数；若触发暴击判定则额外回复生命。,0,否,否,2,Special,0,100,0.15,暴击额外回复比例,0.15,命中回血比例,0,预留,0,预留,99
自爆流程,ExploderProcess,敌人进入自爆准备状态，结束后转入可引爆阶段。,0,否,否,1,Turn,2,100,0,预留,0,预留,0,预留,0,预留,99
下次行动增伤,NextActionDamageBoost,使目标下一次行动造成的伤害提高20%，行动结束后移除。,0,否,否,1,Special,1,100,1.2,下次行动输出倍率,0,预留,0,预留,0,预留,99
单回合减攻,ActionWeakened,使目标本次行动造成的伤害降低60%，行动结束后移除。,0,是,否,1,Special,1,100,0.4,本次行动输出倍率,0,预留,0,预留,0,预留,99
弱化,Weakened,使目标造成伤害时伤害降低至80%，并消耗1层。该效果可叠加。,0,是,否,99,Special,0,100,0.8,每层输出倍率,0,预留,0,预留,0,预留,10
王棋,ChessKingMark,自身伤害增加30%，但自身受到伤害增加30%。该状态无法通过切出消除，切入角色继承切出角色的对应状态。,0,否,否,1,Special,0,100,1.3,伤害加成倍率,1.3,承伤加成倍率,0,预留,0,预留,4
车棋,ChessRookMark,自身伤害减少30%。该状态无法通过切出消除，切入角色继承切出角色的对应状态。,0,否,否,1,Special,0,100,0.7,承伤减免倍率,0.7,伤害减免倍率,0,预留,0,预留,4
力竭,ChessExhaustion,自身受到伤害提升25%。,0,是,否,1,Turn,1,100,1.25,承伤倍率,0.15,力竭触发阈值比例,0,预留,0,预留,3
威望,Prestige,每层提供10%伤害减免（独立乘区）与10%伤害加成。,0,否,否,99,Special,0,100,0.1,每层减免比例,0.1,每层增伤比例,0,预留,0,预留,7
龙息,DragonBreath,在目标行动前触发持续伤害，可叠加多层。,0.2,是,是,5,ActionValue,1,300,0,预留,0,预留,0,预留,0,预留,8
不灭之焰,EternalFlame,持续受到灼烧伤害，无法被净化。,0.15,是,是,1,ActionValue,1,300,0,预留,0,预留,0,预留,0,预留,9
即死,InstantDeath,在下次蓄力触发时承受即死伤害。,0,是,否,1,Turn,1,100,0,预留,0,预留,0,预留,0,预留,1
亮剑姿态,SwordsmanBrightSword,伤害+30%，受到伤害+30%。,0,否,否,1,Special,0,100,1.3,伤害倍率,1.3,承伤倍率,0,预留,0,预留,2
防御姿态,SwordsmanDefense,受到伤害-40%。,0,否,否,1,Special,0,100,0.6,承伤倍率,0,预留,0,预留,0,预留,3
游击姿态,SwordsmanGuerrilla,速度提升20%，不会获取新的负面效果。,0,否,否,1,Special,0,100,1.2,速度倍率,0,预留,0,预留,0,预留,4
背水一战,SwordsmanLastStand,固定在亮剑姿态，伤害+50%，受到伤害+50%。,0,否,否,1,Special,0,100,1.5,伤害倍率,1.5,承伤倍率,0,预留,0,预留,5
失衡,SwordsmanStagger,无法行动，受到伤害+40%。,0,是,否,1,ActionValue,1,100,1.4,承伤倍率,0,预留,0,预留,0,预留,6
优雅体态,SwordsmanElegance,未处于失衡时拥有60%独立乘区伤害减免。,0,否,否,1,Special,0,100,0.4,减免后倍率,0,预留,0,预留,0,预留,7
